i	autoc
1641	0.040294
1642	0.036573
1643	0.032855
1644	0.029143
1645	0.025437
1646	0.021741
1647	0.018054
1648	0.014378
1649	0.010716
1650	0.007067
1651	0.003435
1652	-0.000180
1653	-0.003776
1654	-0.007352
1655	-0.010906
1656	-0.014438
1657	-0.017945
1658	-0.021427
1659	-0.024881
1660	-0.028308
1661	-0.031705
1662	-0.035071
1663	-0.038404
1664	-0.041705
1665	-0.044971
1666	-0.048201
1667	-0.051395
1668	-0.054550
1669	-0.057666
1670	-0.060742
1671	-0.063777
1672	-0.066770
1673	-0.069719
1674	-0.072623
1675	-0.075482
1676	-0.078295
1677	-0.081061
1678	-0.083778
1679	-0.086447
1680	-0.089065
1681	-0.091633
1682	-0.094150
1683	-0.096614
1684	-0.099025
1685	-0.101383
1686	-0.103686
1687	-0.105934
1688	-0.108126
1689	-0.110262
1690	-0.112341
1691	-0.114363
1692	-0.116327
1693	-0.118232
1694	-0.120079
1695	-0.121866
1696	-0.123594
1697	-0.125261
1698	-0.126868
1699	-0.128415
1700	-0.129900
1701	-0.131324
1702	-0.132687
1703	-0.133987
1704	-0.135226
1705	-0.136403
1706	-0.137518
1707	-0.138570
1708	-0.139560
1709	-0.140488
1710	-0.141354
1711	-0.142157
1712	-0.142898
1713	-0.143577
1714	-0.144193
1715	-0.144748
1716	-0.145241
1717	-0.145672
1718	-0.146042
1719	-0.146351
1720	-0.146599
1721	-0.146787
1722	-0.146914
1723	-0.146981
1724	-0.146989
1725	-0.146937
1726	-0.146827
1727	-0.146659
1728	-0.146432
1729	-0.146149
1730	-0.145808
1731	-0.145411
1732	-0.144959
1733	-0.144451
1734	-0.143889
1735	-0.143273
1736	-0.142603
1737	-0.141881
1738	-0.141107
1739	-0.140281
1740	-0.139406
1741	-0.138480
1742	-0.137505
1743	-0.136482
1744	-0.135411
1745	-0.134294
1746	-0.133131
1747	-0.131923
1748	-0.130670
1749	-0.129375
1750	-0.128037
1751	-0.126657
1752	-0.125237
1753	-0.123777
1754	-0.122278
1755	-0.120742
1756	-0.119168
1757	-0.117559
1758	-0.115915
